city,slug,gold_24k_per_gram,gold_22k_per_gram,gold_18k_per_gram,gold_24k_per_10g,gold_22k_per_10g,gold_18k_per_10g,silver_per_gram,silver_per_kg,gold_22k_source,status
Ahmedabad,ahmedabad,15273,14000,11455,152730,140000,114550,245.0,245000.0,derived_from_24k,ok
Ayodhya,ayodhya,15283,14010,11462,152830,140100,114620,245.0,245000.0,matched_from_peer_city,ok
Bangalore,bangalore,15268,13995,11451,152680,139950,114510,245.0,245000.0,scraped,ok
Bhubaneswar,bhubaneswar,15268,13995,11451,152680,139950,114510,250.0,250000.0,matched_from_peer_city,ok
Chandigarh,chandigarh,15283,14010,11462,152830,140100,114620,245.0,245000.0,matched_from_peer_city,ok
Chennai,chennai,15273,14000,11455,152730,140000,114550,250.0,250000.0,scraped,ok
Coimbatore,coimbatore,15273,14000,11455,152730,140000,114550,250.0,250000.0,derived_from_24k,ok
Delhi,delhi,15283,14010,11462,152830,140100,114620,245.0,245000.0,matched_from_peer_city,ok
Hyderabad,hyderabad,15268,13995,11451,152680,139950,114510,250.0,250000.0,scraped,ok
Jaipur,jaipur,15283,14010,11462,152830,140100,114620,245.0,245000.0,scraped,ok
Kerala,kerala,15268,13995,11451,152680,139950,114510,250.0,250000.0,matched_from_peer_city,ok
Kolkata,kolkata,15268,13995,11451,152680,139950,114510,245.0,245000.0,matched_from_peer_city,ok
Lucknow,lucknow,15283,14010,11462,152830,140100,114620,245.0,245000.0,matched_from_peer_city,ok
Madurai,madurai,15273,14000,11455,152730,140000,114550,250.0,250000.0,derived_from_24k,ok
Mangalore,mangalore,15268,13995,11451,152680,139950,114510,245.0,245000.0,matched_from_peer_city,ok
Moodbidri,moodbidri,15268,13995,11451,152680,139950,114510,245.0,245000.0,matched_from_peer_city,ok
Mumbai,mumbai,15268,13995,11451,152680,139950,114510,245.0,245000.0,scraped,ok
Mysore,mysore,15268,13995,11451,152680,139950,114510,245.0,245000.0,matched_from_peer_city,ok
Nagpur,nagpur,15268,13995,11451,152680,139950,114510,245.0,245000.0,matched_from_peer_city,ok
Nashik,nashik,15271,13998,11453,152710,139980,114530,245.0,245000.0,derived_from_24k,ok
Patna,patna,15273,14000,11455,152730,140000,114550,245.0,245000.0,derived_from_24k,ok
Pune,pune,15268,13995,11451,152680,139950,114510,245.0,245000.0,matched_from_peer_city,ok
Rajkot,rajkot,15273,14000,11455,152730,140000,114550,245.0,245000.0,derived_from_24k,ok
Salem,salem,15273,14000,11455,152730,140000,114550,250.0,250000.0,derived_from_24k,ok
Surat,surat,15273,14000,11455,152730,140000,114550,245.0,245000.0,derived_from_24k,ok
Trichy,trichy,15273,14000,11455,152730,140000,114550,250.0,250000.0,derived_from_24k,ok
Vadodara,vadodara,15273,14000,11455,152730,140000,114550,245.0,245000.0,derived_from_24k,ok
Vijayawada,vijayawada,15268,13995,11451,152680,139950,114510,250.0,250000.0,matched_from_peer_city,ok
Visakhapatnam,visakhapatnam,15268,13995,11451,152680,139950,114510,250.0,250000.0,matched_from_peer_city,ok
